Set used: 3

Position (m)                            Time (s)
-0.0000025613                          0.8301
-0.0000029560                          0.8351
-0.0000033431                          0.8401
-0.0000037225                          0.8451
-0.0000040943                          0.8501
-0.0000044585                          0.8551
-0.0000048149                          0.8601
-0.0000051635                          0.8651
-0.0000055043                          0.8701
-0.0000058372                          0.8751
-0.0000061622                          0.8801
-0.0000064794                          0.8851
-0.0000067887                          0.8901
-0.0000070901                          0.8951
-0.0000073836                          0.9001
-0.0000076692                          0.9051
-0.0000079469                          0.9101
-0.0000082166                          0.9151
-0.0000084784                          0.9201
-0.0000087323                          0.9251
-0.0000089782                          0.9301
-0.0000092162                          0.9351
-0.0000094463                          0.9401
-0.0000096686                          0.9451
-0.0000098830                          0.9501
-0.0000100895                          0.9551
-0.0000102883                          0.9601
-0.0000104792                          0.9651
-0.0000106625                          0.9701
-0.0000108380                          0.9751
-0.0000110058                          0.9801
-0.0000111659                          0.9851
-0.0000113185                          0.9901
-0.0000114635                          0.9951
-0.0000116010                          1.0001
-0.0000117312                          1.0051
-0.0000118540                          1.0101
-0.0000119695                          1.0151
-0.0000120778                          1.0201
-0.0000121789                          1.0251
-0.0000122732                          1.0301
-0.0000123606                          1.0351
-0.0000124411                          1.0401
-0.0000125149                          1.0451
-0.0000125818                          1.0501
-0.0000126420                          1.0551
-0.0000126955                          1.0601
-0.0000127425                          1.0651
-0.0000127831                          1.0701
-0.0000128175                          1.0751
-0.0000128457                          1.0801
-0.0000128678                          1.0851
-0.0000128839                          1.0901
-0.0000128941                          1.0951
-0.0000128984                          1.1001
-0.0000128969                          1.1051
-0.0000128897                          1.1101
-0.0000128769                          1.1151
-0.0000128585                          1.1201
-0.0000128347                          1.1251
-0.0000128054                          1.1301
-0.0000127708                          1.1351
-0.0000127309                          1.1401
-0.0000126860                          1.1451
-0.0000126361                          1.1501
-0.0000125813                          1.1551
-0.0000125220                          1.1601
-0.0000124582                          1.1651
-0.0000123897                          1.1701
-0.0000123168                          1.1751
-0.0000122394                          1.1801
-0.0000121579                          1.1851
-0.0000120723                          1.1901
-0.0000119828                          1.1951
-0.0000118894                          1.2001
-0.0000117924                          1.2051
-0.0000116917                          1.2101
-0.0000115874                          1.2151
-0.0000114797                          1.2201
-0.0000113685                          1.2251
-0.0000112540                          1.2301
-0.0000111363                          1.2351
-0.0000110154                          1.2401
-0.0000108915                          1.2451
-0.0000107647                          1.2501
-0.0000106351                          1.2551
-0.0000105026                          1.2601
-0.0000103677                          1.2651
-0.0000102304                          1.2701
-0.0000100908                          1.2751
-0.0000099490                          1.2801
-0.0000098049                          1.2851
-0.0000096586                          1.2901
-0.0000095104                          1.2951
-0.0000093604                          1.3001
-0.0000092087                          1.3051
-0.0000090553                          1.3101
-0.0000089004                          1.3151
-0.0000087441                          1.3201
-0.0000085865                          1.3251
-0.0000084276                          1.3301
-0.0000082675                          1.3351
-0.0000081063                          1.3401
-0.0000079440                          1.3451
-0.0000077808                          1.3501
-0.0000076166                          1.3551
-0.0000074517                          1.3601
-0.0000072862                          1.3651
-0.0000071201                          1.3701
-0.0000069534                          1.3751
-0.0000067862                          1.3801
-0.0000066187                          1.3851
-0.0000064508                          1.3901
-0.0000062827                          1.3951
-0.0000061144                          1.4001
-0.0000059462                          1.4051
-0.0000057779                          1.4101
-0.0000056098                          1.4151
-0.0000054419                          1.4201
-0.0000052742                          1.4251
-0.0000051069                          1.4301
-0.0000049401                          1.4351
-0.0000047738                          1.4401
-0.0000046080                          1.4451
-0.0000044429                          1.4501
-0.0000042783                          1.4551
-0.0000041144                          1.4601
-0.0000039512                          1.4651
-0.0000037889                          1.4701
-0.0000036274                          1.4751
-0.0000034669                          1.4801
-0.0000033074                          1.4851
-0.0000031490                          1.4901
-0.0000029916                          1.4951
-0.0000028355                          1.5001
-0.0000026806                          1.5051
-0.0000025270                          1.5101
-0.0000023748                          1.5151
-0.0000022240                          1.5201
-0.0000020746                          1.5251
-0.0000019266                          1.5301
-0.0000017801                          1.5351
-0.0000016352                          1.5401
-0.0000014918                          1.5451
-0.0000013500                          1.5501
-0.0000012099                          1.5551
-0.0000010715                          1.5601
-0.0000009348                          1.5651
-0.0000007999                          1.5701
-0.0000006668                          1.5751
-0.0000005355                          1.5801
-0.0000004061                          1.5851
-0.0000002785                          1.5901
-0.0000001529                          1.5951
-0.0000000292                          1.6001
0.0000000925                           1.6051
0.0000002123                           1.6101
0.0000003300                           1.6151
0.0000004457                           1.6201
0.0000005594                           1.6251
0.0000006710                           1.6301
0.0000007805                           1.6351
0.0000008879                           1.6401
0.0000009933                           1.6451
0.0000010965                           1.6501
0.0000011975                           1.6551
0.0000012964                           1.6601
0.0000013932                           1.6651
0.0000014877                           1.6701
0.0000015801                           1.6751
0.0000016703                           1.6801
0.0000017583                           1.6851
0.0000018441                           1.6901
0.0000019277                           1.6951
0.0000020092                           1.7001
0.0000020884                           1.7051
0.0000021655                           1.7101
0.0000022403                           1.7151
0.0000023130                           1.7201
0.0000023836                           1.7251
0.0000024520                           1.7301
0.0000025182                           1.7351
0.0000025823                           1.7401
0.0000026442                           1.7451
0.0000027041                           1.7501
0.0000027617                           1.7551
0.0000028173                           1.7601
0.0000028707                           1.7651
0.0000029221                           1.7701
0.0000029713                           1.7751
0.0000030185                           1.7801
0.0000030636                           1.7851
0.0000031067                           1.7901
0.0000031477                           1.7951
0.0000031867                           1.8001
0.0000032236                           1.8051
0.0000032585                           1.8101
0.0000032913                           1.8151
0.0000033221                           1.8201
0.0000033510                           1.8251
0.0000033779                           1.8301
0.0000034028                           1.8351
0.0000034258                           1.8401
0.0000034469                           1.8451
0.0000034661                           1.8501
0.0000034833                           1.8551
0.0000034987                           1.8601
0.0000035122                           1.8651
0.0000035239                           1.8701
0.0000035337                           1.8751
0.0000035418                           1.8801
0.0000035482                           1.8851
0.0000035528                           1.8901
0.0000035558                           1.8951
0.0000035572                           1.9001
0.0000035569                           1.9051
0.0000035551                           1.9101
0.0000035517                           1.9151
0.0000035468                           1.9201
0.0000035405                           1.9251
0.0000035326                           1.9301
0.0000035233                           1.9351
0.0000035126                           1.9401
0.0000035005                           1.9451
0.0000034869                           1.9501
0.0000034721                           1.9551
0.0000034558                           1.9601
0.0000034382                           1.9651
0.0000034193                           1.9701
0.0000033991                           1.9751
0.0000033777                           1.9801
0.0000033551                           1.9851
0.0000033313                           1.9901
0.0000033063                           1.9951
0.0000032803                           2.0001
0.0000032533                           2.0051
0.0000032253                           2.0101
0.0000031963                           2.0151
0.0000031663                           2.0201
0.0000031355                           2.0251
0.0000031037                           2.0301
0.0000030711                           2.0351
0.0000030376                           2.0401
0.0000030032                           2.0451
0.0000029680                           2.0501
0.0000029321                           2.0551
0.0000028953                           2.0601
0.0000028578                           2.0651
0.0000028195                           2.0701
0.0000027806                           2.0751
0.0000027409                           2.0801
0.0000027007                           2.0851
0.0000026598                           2.0901
0.0000026184                           2.0951
0.0000025765                           2.1001
0.0000025341                           2.1051
0.0000024913                           2.1101
0.0000024481                           2.1151
0.0000024045                           2.1201
0.0000023605                           2.1251
0.0000023162                           2.1301
0.0000022716                           2.1351
0.0000022266                           2.1401
0.0000021814                           2.1451
0.0000021358                           2.1501
0.0000020901                           2.1551
0.0000020441                           2.1601
0.0000019978                           2.1651
0.0000019514                           2.1701
0.0000019047                           2.1751
0.0000018580                           2.1801
0.0000018111                           2.1851
0.0000017641                           2.1901
0.0000017171                           2.1951
0.0000016700                           2.2001
0.0000016230                           2.2051
0.0000015760                           2.2101
0.0000015290                           2.2151
0.0000014820                           2.2201
0.0000014351                           2.2251
0.0000013883                           2.2301
0.0000013416                           2.2351
0.0000012950                           2.2401
0.0000012485                           2.2451
0.0000012023                           2.2501
0.0000011562                           2.2551
0.0000011103                           2.2601
0.0000010647                           2.2651
0.0000010193                           2.2701
0.0000009741                           2.2751
0.0000009293                           2.2801
0.0000008847                           2.2851
0.0000008404                           2.2901
0.0000007964                           2.2951
0.0000007527                           2.3001
0.0000007094                           2.3051
0.0000006665                           2.3101
0.0000006239                           2.3151
0.0000005817                           2.3201
0.0000005399                           2.3251
0.0000004985                           2.3301
0.0000004575                           2.3351
0.0000004169                           2.3401
0.0000003768                           2.3451
0.0000003371                           2.3501
0.0000002979                           2.3551
0.0000002592                           2.3601
0.0000002209                           2.3651
0.0000001832                           2.3701
0.0000001459                           2.3751
0.0000001092                           2.3801
0.0000000730                           2.3851
0.0000000373                           2.3901
0.0000000021                           2.3951
-0.0000000325                          2.4001
-0.0000000666                          2.4051
-0.0000001001                          2.4101
-0.0000001331                          2.4151
-0.0000001655                          2.4201
-0.0000001973                          2.4251
-0.0000002285                          2.4301
-0.0000002592                          2.4351
-0.0000002892                          2.4401
-0.0000003187                          2.4451
-0.0000003476                          2.4501
-0.0000003759                          2.4551
-0.0000004036                          2.4601
-0.0000004307                          2.4651
-0.0000004571                          2.4701
-0.0000004830                          2.4751
-0.0000005083                          2.4801
-0.0000005330                          2.4851
-0.0000005570                          2.4901
-0.0000005804                          2.4951
-0.0000006033                          2.5001
-0.0000006255                          2.5051
-0.0000006471                          2.5101
-0.0000006681                          2.5151
-0.0000006885                          2.5201
-0.0000007082                          2.5251
-0.0000007274                          2.5301
-0.0000007460                          2.5351
-0.0000007639                          2.5401
-0.0000007812                          2.5451
-0.0000007980                          2.5501
-0.0000008141                          2.5551
-0.0000008296                          2.5601
-0.0000008445                          2.5651
-0.0000008588                          2.5701
-0.0000008725                          2.5751
-0.0000008856                          2.5801
-0.0000008981                          2.5851
-0.0000009100                          2.5901
-0.0000009213                          2.5951
-0.0000009320                          2.6001
-0.0000009422                          2.6051
-0.0000009518                          2.6101
-0.0000009609                          2.6151
-0.0000009694                          2.6201
-0.0000009773                          2.6251
-0.0000009847                          2.6301
-0.0000009916                          2.6351
-0.0000009979                          2.6401
-0.0000010037                          2.6451
-0.0000010089                          2.6501
-0.0000010137                          2.6551
-0.0000010178                          2.6601
-0.0000010215                          2.6651
-0.0000010247                          2.6701
-0.0000010273                          2.6751
-0.0000010295                          2.6801
-0.0000010311                          2.6851
-0.0000010323                          2.6901
-0.0000010330                          2.6951
-0.0000010333                          2.7001
-0.0000010331                          2.7051
-0.0000010325                          2.7101
-0.0000010314                          2.7151
-0.0000010299                          2.7201
-0.0000010280                          2.7251
-0.0000010258                          2.7301
-0.0000010231                          2.7351
-0.0000010200                          2.7401
-0.0000010165                          2.7451
-0.0000010127                          2.7501
-0.0000010085                          2.7551
-0.0000010039                          2.7601
-0.0000009990                          2.7651
-0.0000009937                          2.7701
-0.0000009880                          2.7751
-0.0000009820                          2.7801
-0.0000009757                          2.7851
-0.0000009691                          2.7901
-0.0000009622                          2.7951
-0.0000009549                          2.8001
-0.0000009474                          2.8051
-0.0000009396                          2.8101
-0.0000009315                          2.8151
-0.0000009231                          2.8201
-0.0000009145                          2.8251
-0.0000009056                          2.8301
-0.0000008965                          2.8351
-0.0000008871                          2.8401
-0.0000008774                          2.8451
-0.0000008676                          2.8501
-0.0000008574                          2.8551
-0.0000008471                          2.8601
-0.0000008366                          2.8651
-0.0000008259                          2.8701
-0.0000008150                          2.8751
-0.0000008039                          2.8801
-0.0000007927                          2.8851
-0.0000007813                          2.8901
-0.0000007698                          2.8951
-0.0000007582                          2.9001
-0.0000007464                          2.9051
-0.0000007345                          2.9101
-0.0000007224                          2.9151
-0.0000007102                          2.9201
-0.0000006980                          2.9251
-0.0000006856                          2.9301
-0.0000006731                          2.9351
-0.0000006605                          2.9401
-0.0000006479                          2.9451
-0.0000006352                          2.9501
-0.0000006224                          2.9551
-0.0000006095                          2.9601
-0.0000005966                          2.9651
-0.0000005837                          2.9701
-0.0000005707                          2.9751
-0.0000005577                          2.9801
-0.0000005446                          2.9851
-0.0000005316                          2.9901
-0.0000005185                          2.9951
-0.0000005054                          3.0001

